YYYYMMDD HH:MM measured temperature
20141218 00:00
20141218 00:10
20141218 00:20
20141218 00:30
20141218 00:40
20141218 00:50
20141218 01:00
20141218 01:10
20141218 01:20
20141218 01:30
20141218 01:40
20141218 01:50
20141218 02:00
20141218 02:10
20141218 02:20
20141218 02:30
20141218 02:40
20141218 02:50
20141218 03:00
20141218 03:10
20141218 03:20
20141218 03:30
20141218 03:40
20141218 03:50
20141218 04:00
20141218 04:10
20141218 04:20
20141218 04:30
20141218 04:40
20141218 04:50
20141218 05:00
20141218 05:10
20141218 05:20 9.8125
20141218 05:30 9.875
20141218 05:40 9.875
20141218 05:50 9.75
20141218 06:00 9.8125
20141218 06:10 9.75
20141218 06:20 9.6875
20141218 06:30 9.75
20141218 06:40 9.75
20141218 06:50 9.5
20141218 07:00 9.25
20141218 07:10 9.25
20141218 07:20 9.25
20141218 07:30 9.25
20141218 07:40 9.3125
20141218 07:50 9.3125
20141218 08:00 9.375
20141218 08:10 9.375
20141218 08:20 9.4375
20141218 08:30 9.5
20141218 08:40 9.5
20141218 08:50 9.5
20141218 09:00 9.5625
20141218 09:10 9.625
20141218 09:20 9.625
20141218 09:30 9.6875
20141218 09:40 9.75
20141218 09:50 9.75
20141218 10:00 9.75
20141218 10:10 9.875
20141218 10:20 9.9375
20141218 10:30 9.9375
20141218 10:40 9.9375
20141218 10:50 10
20141218 11:00 10.0625
20141218 11:10 10.0625
20141218 11:20 10.0625
20141218 11:30 10.0625
20141218 11:40 10.125
20141218 11:50 10.1875
20141218 12:00 10.25
20141218 12:10 10.25
20141218 12:20 10.25
20141218 12:30 10.3125
20141218 12:40 10.375
20141218 12:50 10.375
20141218 13:00 10.4375
20141218 13:10 10.4375
20141218 13:20 10.5
20141218 13:30 10.5625
20141218 13:40 10.625
20141218 13:50 10.625
20141218 14:00 10.625
20141218 14:10 10.5625
20141218 14:20 10.6875
20141218 14:30 10.6875
20141218 14:40 10.625
20141218 14:50 10.625
20141218 15:00 10.625
20141218 15:10 10.5625
20141218 15:20 10.5625
20141218 15:30 10.625
20141218 15:40 10.625
20141218 15:50 10.6875
20141218 16:00 10.75
20141218 16:10 10.8125
20141218 16:20 10.875
20141218 16:30 10.875
20141218 16:40 10.875
20141218 16:50 10.875
20141218 17:00 10.8125
20141218 17:10 10.8125
20141218 17:20 10.8125
20141218 17:30 10.8125
20141218 17:40 10.8125
20141218 17:50 10.875
20141218 18:00 10.9375
20141218 18:10 10.9375
20141218 18:20 11
20141218 18:30 11.0625
20141218 18:40 11.125
20141218 18:50 11.125
20141218 19:00 11.1875
20141218 19:10 11.25
20141218 19:20 11.25
20141218 19:30 11.3125
20141218 19:40 11.375
20141218 19:50 11.4375
20141218 20:00 11.4375
20141218 20:10 11.4375
20141218 20:20 11.4375
20141218 20:30 11.4375
20141218 20:40 11.4375
20141218 20:50 11.4375
20141218 21:00 11.375
20141218 21:10 11.3125
20141218 21:20 11.3125
20141218 21:30 11.3125
20141218 21:40 11.25
20141218 21:50 11.1875
20141218 22:00 11.125
20141218 22:10 11.125
20141218 22:20 11.125
20141218 22:30 11.125
20141218 22:40 11.0625
20141218 22:50 11.0625
20141218 23:00 11.125
20141218 23:10 11.125
20141218 23:20 11.0625
20141218 23:30 11.0625
20141218 23:40 11.0625
20141218 23:50 11.125
