YYYYMMDD HH:MM measured temperature
20150109 00:00
20150109 00:10
20150109 00:20
20150109 00:30
20150109 00:40
20150109 00:50
20150109 01:00
20150109 01:10
20150109 01:20
20150109 01:30
20150109 01:40
20150109 01:50
20150109 02:00
20150109 02:10
20150109 02:20
20150109 02:30
20150109 02:40
20150109 02:50
20150109 03:00
20150109 03:10
20150109 03:20
20150109 03:30
20150109 03:40
20150109 03:50
20150109 04:00
20150109 04:10
20150109 04:20
20150109 04:30
20150109 04:40
20150109 04:50
20150109 05:00
20150109 05:10
20150109 05:20
20150109 05:30
20150109 05:40 85
20150109 05:50 85
20150109 06:00 127.875
20150109 06:10 127.875
20150109 06:20 127.875
20150109 06:30 127.875
20150109 06:40 127.875
20150109 06:50 127.875
20150109 07:00 127.875
20150109 07:10 127.875
20150109 07:20 127.875
20150109 07:30 85
20150109 07:40 127.875
20150109 07:50
20150109 08:00
20150109 08:10
20150109 08:20
20150109 08:30 85
20150109 08:40 127.875
20150109 08:50 127.875
20150109 09:00 127.875
20150109 09:10 127.875
20150109 09:20 7.5
20150109 09:30 7.75
20150109 09:40 7.875
20150109 09:50 8
20150109 10:00 8.25
20150109 10:10 8.125
20150109 10:20 8.125
20150109 10:30 8.375
20150109 10:40 8.5
20150109 10:50 8.625
20150109 11:00 8.625
20150109 11:10 8.8125
20150109 11:20 8.8125
20150109 11:30 8.75
20150109 11:40 8.75
20150109 11:50 8.75
20150109 12:00 8.8125
20150109 12:10 8.8125
20150109 12:20 8.875
20150109 12:30 8.9375
20150109 12:40 9.4375
20150109 12:50 9.625
20150109 13:00 9.5625
20150109 13:10 9.625
20150109 13:20 9.625
20150109 13:30 9.625
20150109 13:40 9.625
20150109 13:50 9.75
20150109 14:00 9.75
20150109 14:10 9.5
20150109 14:20 9.625
20150109 14:30 9.5
20150109 14:40 9.5
20150109 14:50 9.375
20150109 15:00 9.375
20150109 15:10 9.0625
20150109 15:20 9.0625
20150109 15:30 9
20150109 15:40 9.125
20150109 15:50 8.9375
20150109 16:00 8.9375
20150109 16:10 8.6875
20150109 16:20 8.75
20150109 16:30 8.75
20150109 16:40 8.6875
20150109 16:50 8.75
20150109 17:00 8.625
20150109 17:10 8.625
20150109 17:20 8.625
20150109 17:30 8.5625
20150109 17:40 8.5625
20150109 17:50 8.6875
20150109 18:00 8.5
20150109 18:10 8.5
20150109 18:20 8.5
20150109 18:30 8.5
20150109 18:40 8.4375
20150109 18:50 8.4375
20150109 19:00 8.3125
20150109 19:10 8.375
20150109 19:20 8.375
20150109 19:30 8.1875
20150109 19:40 8
20150109 19:50 7.375
20150109 20:00 7.3125
20150109 20:10 7.3125
20150109 20:20 7.3125
20150109 20:30 7.125
20150109 20:40 6.9375
20150109 20:50 6.75
20150109 21:00 6.5625
20150109 21:10 6.375
20150109 21:20 6.3125
20150109 21:30 6.3125
20150109 21:40 6.1875
20150109 21:50 6.1875
20150109 22:00 6.1875
20150109 22:10 6
20150109 22:20 5.9375
20150109 22:30 5.8125
20150109 22:40 5.75
20150109 22:50 5.75
20150109 23:00 5.8125
20150109 23:10 5.75
20150109 23:20 5.8125
20150109 23:30 5.8125
20150109 23:40 5.8125
20150109 23:50 5.8125
