Jahr,Titel englisch
2019,Star Wars: Episode IX
2018,Fantastic Beasts and Where to Find Them 2
2018,Black Panther
2018,Aquamen
2018,The Incredibles 2
2018,Avengers: Infinity War
2017,xXx: The Return of Xander Cage
2017,Split
2017,Monster Trucks
2017,The LEGO Batman Movie
2017,John Wick 2
2017,The Great Wall
2017,Logan
2017,The Fate of the Furious
2017,Ghost in the Shell
2017,The Lost City of Z
2017,Guardians of the Galaxy Vol. 2
2017,Alien: Covenant
2017,Baywatch
2017,Wonder Woman
2017,Underworld: Blood Wars
2017,The Bye Bye Man
2017,A Dog's Purpose
2017,Sleepless
2017,Resident Evil: The Final Chapter
2017,The Mummy
2017,Spider-Man: Homecoming
2017,War for the Planet of the Apes
2017,Dunkirk
2017,Valerian and the City of Thousand Planets
2017,Blade Runner 2049
2017,Kingsman: The Golden Circle
2017,Logan Lucky
2017,God Particle
2017,Thor: Ragnorak
2017,Justice League
2017,Murder on the Orient Express
2017,Star Wars: Episode VIII
2017,Pitch Perfect 3
2017,Pirates of the Caribbean: Dead Men tell no Tales
2017,Transformers: The Last Knight
2017,Beauty and the Beast
2017,The Founder
2017,The Boss Baby
2017,Kong: Skull Island
2017,Power Rangers
2017,Leap!
2017,King Arthur: Legend of the Sword
2017,Diary of a Wimpy Kid: The Long Haul
2017,Despicable Me 3
2017,Cars 3
2016,Captain America: Civil War
2016,Rouge One: A Star Wars Story
2016,Finding Dory
2016,Zootopia
2016,The Jungle Book
2016,The Secret Life of Pets
2016,Batman v Superman: Dawn of Justice
2016,Fantastic Beasts and Where to Find Them
2016,Deadpool
2016,Suicide Squad
2016,Doctor Strange
2016,The Mermaid (Mei ren Yu)
2016,X-Men: Apocalypse
2016,Moana
2016,Kung Fu Panda 3
2016,Sing
2016,Warcraft
2016,Jason Bourne
2016,Ice Age: Collision Course
2016,Independence Day: Resurgence
2016,Monster Hunt
2016,The Legend of Tarzan
2016,The Angry Birds Movie
2016,Star Trek Beyond
2016,Trolls
2016,Now you see me 2
2016,The Conjuring 2
2016,Alice Through the Looking Glass
2016,Passengers
2016,Miss Peregrine's Home for Peculiar Children
2016,Teenage Mutant Ninja Turtles: Out of the Shadows
2016,La La Land
2016,Inferno
2016,Central Intelligence
